"date","totalAmount","items","promotion"
"2025-01-25T00:00:00.000Z",120,"[{""productId"":{""_id"":""507f1f77bcf86cd799439013"",""name"":""Berbere Spice""},""quantity"":4,""price"":30,""promotion"":false,""_id"":""682f93709f72fb3ac56b9ab9""}]",false
"2025-02-01T00:00:00.000Z",300,"[{""productId"":{""_id"":""507f1f77bcf86cd799439011"",""name"":""Injera""},""quantity"":2,""price"":50,""promotion"":false,""_id"":""682f93709f72fb3ac56b9abd""},{""productId"":{""_id"":""507f1f77bcf86cd799439014"",""name"":""Coffee""},""quantity"":1,""price"":200,""promotion"":false,""_id"":""682f93709f72fb3ac56b9abe""}]",false
"2025-02-05T00:00:00.000Z",240,"[{""productId"":{""_id"":""507f1f77bcf86cd799439012"",""name"":""Teff Flour""},""quantity"":2,""price"":120,""promotion"":false,""_id"":""682f93719f72fb3ac56b9ac3""}]",false
"2025-02-10T00:00:00.000Z",210,"[{""productId"":{""_id"":""507f1f77bcf86cd799439011"",""name"":""Injera""},""quantity"":3,""price"":50,""promotion"":true,""_id"":""682f93719f72fb3ac56b9ac7""},{""productId"":{""_id"":""507f1f77bcf86cd799439013"",""name"":""Berbere Spice""},""quantity"":2,""price"":30,""promotion"":true,""_id"":""682f93719f72fb3ac56b9ac8""}]",false
"2025-02-15T00:00:00.000Z",400,"[{""productId"":{""_id"":""507f1f77bcf86cd799439014"",""name"":""Coffee""},""quantity"":2,""price"":200,""promotion"":false,""_id"":""682f93719f72fb3ac56b9acd""}]",false
"2025-02-20T00:00:00.000Z",320,"[{""productId"":{""_id"":""507f1f77bcf86cd799439011"",""name"":""Injera""},""quantity"":4,""price"":50,""promotion"":false,""_id"":""682f93729f72fb3ac56b9ad1""},{""productId"":{""_id"":""507f1f77bcf86cd799439012"",""name"":""Teff Flour""},""quantity"":1,""price"":120,""promotion"":false,""_id"":""682f93729f72fb3ac56b9ad2""}]",false
"2025-03-01T00:00:00.000Z",150,"[{""productId"":{""_id"":""507f1f77bcf86cd799439013"",""name"":""Berbere Spice""},""quantity"":5,""price"":30,""promotion"":false,""_id"":""682f93729f72fb3ac56b9ad7""}]",false
"2025-03-05T00:00:00.000Z",300,"[{""productId"":{""_id"":""507f1f77bcf86cd799439011"",""name"":""Injera""},""quantity"":2,""price"":50,""promotion"":true,""_id"":""682f93739f72fb3ac56b9adb""},{""productId"":{""_id"":""507f1f77bcf86cd799439014"",""name"":""Coffee""},""quantity"":1,""price"":200,""promotion"":true,""_id"":""682f93739f72fb3ac56b9adc""}]",false
"2025-03-10T00:00:00.000Z",330,"[{""productId"":{""_id"":""507f1f77bcf86cd799439012"",""name"":""Teff Flour""},""quantity"":2,""price"":120,""promotion"":false,""_id"":""682f93739f72fb3ac56b9ae1""},{""productId"":{""_id"":""507f1f77bcf86cd799439013"",""name"":""Berbere Spice""},""quantity"":3,""price"":30,""promotion"":false,""_id"":""682f93739f72fb3ac56b9ae2""}]",false
"2025-03-20T00:00:00.000Z",600,"[{""productId"":{""_id"":""507f1f77bcf86cd799439014"",""name"":""Coffee""},""quantity"":3,""price"":200,""promotion"":false,""_id"":""682f93749f72fb3ac56b9ae7""}]",false
